member_casual,ride_length
"member",7
"casual",26
"member",12
"member",14
"member",20
"member",9
"member",5
"casual",18
"member",9
"member",16
"member",21
"member",2
"casual",5
"casual",2
"casual",3
"casual",4
"casual",2
"member",11
"casual",13
"member",6
"member",19
"casual",7
"member",3
"member",26
"member",6
"member",21
"casual",13
"casual",12
"member",3
"member",46
"member",13
"member",4
"member",10
"casual",10
"member",5
"casual",12
"casual",17
"casual",12
"member",10
"member",8
"casual",9
"member",11
"member",8
"member",8
"member",7
"member",32
"member",8
"member",9
"member",32
"casual",12
"member",4
"member",4
"casual",6
"casual",9
"member",7
"member",15
"casual",22
"casual",21
"casual",57
"casual",20
"casual",40
"casual",24
"casual",25
"member",20
"member",12
"member",12
"member",17
"member",3
"casual",22
"casual",20
"member",9
"member",16
"member",2
"member",1
"member",1
"casual",21
"member",8
"member",6
"casual",1
"casual",12
"member",3
"member",6
"casual",8
"member",6
"member",13
"member",21
"casual",5
"member",8
"member",5
"member",27
"casual",24
"casual",24
"member",7
"member",7
"member",3
"member",2
"member",38
"casual",14
"casual",6
"casual",4
"casual",5
"member",9
"member",11
"casual",6
"member",8
"member",11
"casual",5
"member",16
"member",1
"member",23
"member",18
"casual",44
"member",6
"member",3
"member",10
"casual",15
"member",17
"casual",14
"member",26
"casual",7
"member",12
"member",7
"casual",5
"member",10
"member",9
"member",17
"member",20
"casual",33
"member",3
"member",19
"member",4
"member",12
"member",15
"member",7
"casual",9
"member",13
"member",24
"member",9
"member",27
"member",35
"member",6
"member",4
"casual",7
"casual",12
"casual",12
"member",25
"casual",6
"member",12
"member",33
"casual",6
"member",2
"casual",5
"casual",17
"casual",5
"casual",32
"member",8
"member",3
"member",9
"member",8
"member",12
"member",10
"casual",4
"casual",5
"member",6
"member",6
"member",19
"member",5
"casual",5
"casual",5
"casual",30
"member",9
"member",2
"member",30
"member",13
"member",3
"member",5
"casual",13
"casual",4
"member",7
"member",32
"casual",9
"casual",25
"casual",35
"casual",25
"member",18
"member",7
"member",58
"casual",13
"casual",7
"casual",22
"casual",29
"member",137
"member",6
"member",37
"member",11
"member",18
"casual",25
"member",15
"casual",19
"member",4
"member",4
"member",3
"casual",24
"member",6
"member",16
"member",3
"member",3
"member",12
"member",3
"member",2
"member",2
"member",2
"member",2
"member",9
"member",37
"member",3
"member",4
"member",37
"member",22
"casual",10
"member",6
"casual",8
"casual",8
"member",5
"casual",30
"member",6
"casual",139
"casual",17
"casual",214
"member",15
"member",11
"casual",7
"member",3
"member",6
"member",21
"casual",7
"member",41
"member",2
"member",29
"casual",143
"casual",12
"casual",28
"member",14
"member",14
"casual",33
"casual",23
"casual",7
"casual",44
"casual",11
"casual",0
"casual",0
"casual",95
"member",10
"member",13
"member",12
"member",7
"casual",54
"casual",4
"casual",6
"member",17
"casual",16
"casual",3
"casual",10
"member",24
"member",9
"casual",5
"member",1
"member",17
"casual",7
"casual",7
"member",4
"member",6
"member",18
"casual",12
"casual",10
"member",2
"casual",14
"member",6
"member",7
"member",5
"member",7
"member",7
"member",8
"member",6
"member",32
"member",6
"member",6
"casual",7
"member",6
"casual",51
"member",9
"member",15
"casual",5
"member",3
"member",7
"casual",21
"member",20
"casual",1
"member",4
"member",9
"casual",6
"member",10
"member",4
"member",12
"member",6
"casual",24
"casual",11
"member",19
"member",3
"casual",25
"member",8
"member",23
"member",8
"member",12
"member",0
"member",4
"member",5
"member",13
"member",3
"casual",23
"member",7
"member",13
"member",12
